Modern Computer Architecture and Organization - Second Edition,Packt,9781803234519,,Humble Tech Book Bundle: Programming Mega Bundle
Modern Computer Vision with PyTorch,Packt,Available inside eBook,,The A - Z of Machine Learning
Modern Crochet Bible,Open Road Media,978-1446307502,,Humble Book Bundle: Amigurumi and Crochet
Modern DevOps Practices (Second Edition),Packt Publishing,9781805121824,,CI/CD Mastery for Cloud Infrastructure
Modern Front-end Architecture,Springer / Apress,978-1484266243,,Full Stack Web Development by Springer/Apress
MODERN FULL-STACK DEVELOPMENT,Apress / Springer,978-1-4842-8810-8,,Humble Tech Book Bundle: Full Stack Development with Apress
Modern Marketing Using AI,BPB Publications,9789391030049,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Modern Python Cookbook,Packt,9781800207455,,Humble Book Bundle: The Ultimate Python Bookshelf by Packt
Modern Scandinavian Baking,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
Modern Systems Programming with Scala Native,The Pragmatic Programmers,978-1-68050-622-8,,Functional Programming by Pragmatic Programmers
Money Hacks,Simon & Schuster / Adams Media,9781507214152,,Life Hacks by Adams Media
MongoDB Fundamentals,Packt,,,Humble Tech Book Bundle: Mastering Every Database by Packt
Monolith to Microservices,O'Reilly,9781492047841,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Monte Carlo Methods: A Hands-On Computational Introduction Utilizing Excel,Morgan & Claypool Publishers,978-1681739502,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
"Moonlight Gratitude: 365 Nighttime Meditations for Deep, Tranquil Sleep All Year Long",The Quarto Group,9781631069345,,Humble Book Bundle: Mindfulness & Meditation by Quarto
More Fast Food My Way,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
Mother Knows Best: A Novel of Suspense,Crooked Lane Books,9781643850405,,Humble Book Bundle: Murder by the Book from Crooked Lane
Motorcycling For Dummies,Wiley,9780470248041,,Humble Book Bundle: DIY Home & Hobby by Wiley
Moving Hadoop to the Cloud,O'Reilly Media,9781491959633,,DevOps by O'Reilly
Mr. Boddington's Etiquette,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
MS Excel 2019 Programming Pocket Primer,"Walter De Gruyter, Inc. / Mercury",9781683924043,,Data Science & Data Analytics
Muffins and Biscuits,Chronicle Books,978-1452140131,,The Calculating Chef
"Multiphysics Modeling Using COMSOL 5 and MATLAB, Second Edition","Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
"Multirate Signal Processing for Communication Systems, Second Edition",River Publishers,9788770222105,,"Humble Tech Book Bundle: Electronics, Circuits, and Science"
Multithreading for Visual Effects,Taylor & Francis Group,Not listed on page,,Data Visualization by Taylor & Francis
Multivariable and Vector Calculus,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Murder of Marilyn Monroe,Skyhorse Publishing,9781629146034,,True Crime Essentials
Mushroom Cultivation,The Quarto Group,9781592539277,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Music Science,River Publishers,9788770223522,,"Humble Tech Book Bundle: Electronics, Circuits, and Science"
Music Theory 101,Simon & Schuster (Adams Media),9781507203668,,Humble Book Bundle: Knowledge 101!
My Crochet Animals,Open Road Media,978-1446306314,,Humble Book Bundle: Amigurumi and Crochet
My Crochet Doll,Open Road Media,978-1446304013,,Humble Book Bundle: Amigurumi and Crochet
My Heart Sutra,Stone Bridge Press,9781611725148,,Humble Book Bundle: Japanese Art and Culture
My Knitted Doll,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
My Lebanese Cookbook,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
My Pretty Brown Doll,Abrams Books,9781419747205,,"Crafting, Knitting, & More"
Mystical Places,The Quarto Group,9781781319581,,The Armchair Traveler
Mythology 101,Simon & Schuster (Adams Media),9781440573323,,Humble Book Bundle: Knowledge 101!
Naikan,Stone Bridge Press,9781611725353,,Humble Book Bundle: Japanese Art and Culture
Nanotechnology Past and Present,Morgan & Claypool Publishers,,,Humble Book Bundle: Cutting Edge Tech by Morgan Claypool
Natashas,Skyhorse Publishing,9781611455014,,True Crime Essentials
Natural Beauty Skin Care,Callisto Publishing,9781623157142,,Humble Book Bundle: Health & Wellness
Natural Language Processing and Machine Learning for Developers,"Walter De Gruyter, Inc. / Mercury",9781683925347,,Data Science & Data Analytics
"Natural Language Processing for Social Media, Third Edition",Morgan & Claypool Publishers,978-1-68173-787-4,,AI & Machine Learning Toolkit
Natural Language Processing Fundamentals for Developers,"Walter De Gruyter, Inc.",,,Cybersecurity & Data Science
Natural Language Processing Using R Pocket Primer,"Walter De Gruyter, Inc. / Mercury Learning",9781683926054,,Humble Tech Book Bundle: STEM Bootcamp by Mercury Learning
Natural Language Processing with Python and spaCy: A Practical Introduction,No Starch Press,9781718500525,,Humble Book Bundle: Learn You More Python
Natural Language Processing with PyTorch,O'Reilly Media,9781491978238,,Humble Book Bundle: Data & AI by O'Reilly
Natural Remedies for Sleep,Callisto Publishing,9781641524957,,Humble Book Bundle: Health & Wellness
NBA Jam,Boss Fight Books,978-1-940535-20-3,,Humble Book Bundle: Video Game Histories
Negotiating 101,Simon & Schuster (Adams Media),9781507202692,,Humble Book Bundle: Knowledge 101!
Negotiating the Impossible: How to Break Deadlocks and Resolve Ugly Conflicts,Berrett-Koehler,9798890570987,,Humble Book Bundle: Debug Your Life
Negotiating With A Bully,Red Wheel/Weiser,978-1632651334,,Choose Your Own Career Path
"Net Zeros and Ones: How Data Erasure Promotes Sustainability, Privacy, and Security",Wiley,9781119866169,,Humble Tech Book Bundle: Cybersecurity 2023 by Wiley
Network Programming with Go,No Starch Press,978-1-71850-088-4,,The Joy of Coding
Network Security and Cryptography,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
Network Security and Cryptography Second Edition,"Walter De Gruyter, Inc.",,,Cybersecurity & Data Science
"Networking for People Who Hate Networking, Second Edition",Berrett-Koehler,9781523092307,,Humble Leadership by Berrett-Koehler
Neural Network Methods for Natural Language Processing,Morgan & Claypool Publishers,978-1-62705-298-6,,AI & Machine Learning Toolkit
Neurolinguistics,MIT Press,9780262543262,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
Neuroplasticity,MIT Press,9780262529334,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
Never Apply for a Job Again!,Red Wheel/Weiser,978-1601633415,,Choose Your Own Career Path
Never Put A Cactus In The Bathroom,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
Never Use Futura,Princeton Architectural Press,9781616896089,,Graphic Design 101
New Honor Code,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
New World Sourdough,The Quarto Group,9781631598708,,Humble Book Bundle: Cookbooks by Quarto
Newtonian Mechanics,"Walter De Gruyter, Inc.",[Not on page],,STEM Productivity Library by Mercury
Newtonian Mechanics Second Edition,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Next Generation Internet of Things,River Publishers,N/A,,Humble Tech Book Bundle: Big Data & IoT by River Publishers
Nightmare Mode: A Boss Fight Books Anthology,Boss Fight Books,978-1-940535-21-0,,Humble Book Bundle: Video Game Histories
Nihilism,MIT Press,9780262537179,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
NLP with Python,O'Reilly,,,Humble Book Bundle: Python Programming by O'Reilly
No Nonsense: Time Management,Red Wheel/Weiser,978-1632651457,,Choose Your Own Career Path
No Plot? No Problem! revised,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
No Starch Sampler,No Starch Press,N/A (Promo Sampler),,Humble Book Bundle: Learn You Some Code
No-nonsense Cover Letters,Career Press,9781601630711,,Humble Book Bundle: Career Building by Career Press
No-Waste Organic Gardening: Eco-friendly Solutions to Improve any Garden,The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
Noodles Every Day,Chronicle Books,978-0811867160,,The Calculating Chef
Norah Gaughan's Knitted Cable Sourcebook: A Breakthrough Guide to Knitting with Cables and Designing Your Own,Abrams Books,9781419722394,,"Humble Book Bundle: Get Crafty: Knitting, Sewing & Crafting by ABRAMS"
Norah Gaughan's Twisted Stitch Sourcebook,Abrams Books,9781419747564,,"Crafting, Knitting, & More"
Nordic Sailors' & Fishermen's Sweaters: Modern Knitwear Inspired by Historical Patterns,Abrams Books,9781419778711,,Humble Book Bundle: Knit Happens!
"Not with a Bug, But with a Sticker: Attacks on Machine Learning Systems and What To Do About Them",Wiley,9781119883982,,Humble Tech Book Bundle: Cybersecurity 2023 by Wiley
Not Your Granny's Granny Squares,Insight Editions / Weldon Owen,9798886742015,,Humble Craft Book Bundle: Stitch & Bitch by Insight Editions
Nourished: The Plant-based Path to Health and Happiness,Mango Media,9781642502756,,"Humble Book Bundle: Eat, Drink & Be Merry"
Now You See It and Other Essays on Design,Princeton Architectural Press,9781616896249,,Graphic Design 101
"Nuclear Power: Past, Present, and Future",Morgan & Claypool Publishers,9781681745046,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
Nuclear Weapons,MIT Press,9780262543316,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
Numbers at Work: A Cultural Perspective,Taylor & Francis Group / A K Peters,9781568812908,,Humble Book Bundle: Math & Puzzles Train Your Brain
"Numerical Methods in Engineering and Science ( C, C++, MATLAB)","Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Nutrition Facts,Callisto Publishing,9781623157128,,Humble Book Bundle: Health & Wellness
Object-Oriented Programming Languages and Event-Driven Programming,Mercury Learning and Information,9781683920397,,Programming Fundamentals 2023 by Mercury
Object-Oriented Python,No Starch Press,9781718502062,,Humble Tech Book Bundle: Python by No Starch Press
Observability with Grafana,Packt Publishing,9781803248004,,CI/CD Mastery for Cloud Infrastructure
Occupational Therapy Activities for Kids,Callisto Publishing,9781641526159,,Humble Book Bundle: Health & Wellness
"Ocean Instrumentation, Electronics, and Energy","Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
OCP Oracle Certified Professional Java SE 11 Programmer I Study Guide: Exam 1Z0-815,Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
OCP Oracle Certified Professional Java SE 11 Programmer II Study Guide: Exam 1Z0-816 and Exam 1Z0-817,Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
Off The Back Of A Truck,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
Official Google Cloud Certified Professional Data Engineer Study Guide,Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
Official MacGyver Survival Manual,Weldon Owen,9781681880525,,Ultimate Survival Guides
"Oh, Tama!: A Mejiro Novel",Stone Bridge Press,978-1611720082,,Japanese Culture & Language
"Ok, Boomer",Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
Old Man Drinks,Penguin Random House US,9781594744501,,Cooking Forking Good Food
On a Stick!,Quirk Books,9781594745089,,Cooking Forking Good Food
"Once Upon a Chef, the Cookbook",Chronicle Books,978-1452156187,,The Calculating Chef
One Little Secret: A Novel,Crooked Lane Books,9781683319726,,Humble Book Bundle: Murder by the Book from Crooked Lane
One Pan to Rule Them All,Skyhorse Publishing,978-1510712454,,Eat Like a Geek
"One Pan, Two Plates: More Than 70 Complete Weeknight Meals for Two",Chronicle Books,978-1452106496,,The Calculating Chef
One Pot of the Day,Weldon Owen,Not listed on page,,Humble Book Bundle: Essential Cookbooks by Williams Sonoma
"Online Social Networks Security: Principles, Algorithm, Applications, and Perspectives",Taylor & Francis Group,9780367500078,,Humble Tech Book Bundle: Cybersecurity and Forensics by CRC Press
Open Source Projects - Beyond Code,Packt,9781803240831,,Python Master 2024
OpenGL Insights,Taylor & Francis Group,Not listed on page,,Data Visualization by Taylor & Francis
Operating Systems,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
Operationalizing Machine Learning Pipelines,BPB Publications,9789390684441,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Optics: An Introduction,"Walter De Gruyter, Inc. / Mercury Learning",9781683926887,,Humble Tech Book Bundle: STEM Bootcamp by Mercury Learning
Optimization Using Linear Programming,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Organization Hacks,Simon & Schuster / Adams Media,9781440594329,,Life Hacks by Adams Media
Otaku Food! : Japanese Soul Food Inspired by Anime and Pop Culture,Mango Media,9781642504927,,"Humble Book Bundle: Eat, Drink & Be Merry"
Our Best Baby Afghans,Leisure Arts,9781574869507,,Humble Craft Bundle: Cozy Afghans and More
Our Maker Life,Abrams Books,9781419752940,,"Crafting, Knitting, & More"
Outdoor Life: Hunting & Gathering Survival Manual,Weldon Owen,9781616287276,,Ultimate Survival Guides
Outdoor Life: Prepare for Anything Survival Manual,Weldon Owen,9781616287269,,Ultimate Survival Guides
Outdoor Life: The Ultimate Survival Manual,Weldon Owen,9781616282189,,Ultimate Survival Guides
"Outside the Research Lab, Volume 1: Physics in the Arts, Architecture, and Design",Morgan & Claypool Publishers,9781681742724,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
"Outside the Research Lab, Volume 2: Physics in Vintage and Modern Transport",Morgan & Claypool Publishers,9781681744643,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
"Outside the Research Lab, Volume 3: Physics in Sport",Morgan & Claypool Publishers,9781643277165,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
Paint It!,Naraku Brock,N/A (Self-Published),,Humble Book Bundle: The Cosplayer's Bookshelf
Pairing Food and Wine For Dummies,Wiley,9781118131909,,Humble Book Bundle: DIY Home & Hobby by Wiley
Paleo Grilling,The Quarto Group,9781592336159,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Pandas Basics,Mercury Learning and Information,9781683925064,,Programming Fundamentals 2023 by Mercury
Pandas Brain Teasers,Pragmatic Programmers,9781680507553,,Databases and Data Management by Pragmatic
Pantry Cocktails,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
"Panty, Hip & Belt Pattern Collection",Kamui Cosplay,,,Humble Book Bundle: Return of the Cosplay
Parallel Programming and Concurrency with C# 10 and .NET 6,Packt,9781803240398,,Humble Tech Book Bundle: Mastery of C# and .NET awaits
Parson Gray Trade Quilts,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
