h2,h2-title,p
"Mindful Travelling: Journeying the world, discovering yourself","Mindful Travelling: Journeying the world, discovering yourself",The Quarto Group
Mindful Universe: A journey through the inner and outer cosmos,Mindful Universe: A journey through the inner and outer cosmos,The Quarto Group
Mindfulness and the Big Questions: Philosophy for now,Mindfulness and the Big Questions: Philosophy for now,The Quarto Group
Mindfulness at Work: Flourishing in The Workplace,Mindfulness at Work: Flourishing in The Workplace,The Quarto Group
Mindfulness for Stress Management,Mindfulness for Stress Management,Callisto Publishing
"Mindfulness for Students: Embracing Now, Looking to the Future","Mindfulness for Students: Embracing Now, Looking to the Future",The Quarto Group
Mindfulness in Music: Notes on Finding Life's Rhythm,Mindfulness in Music: Notes on Finding Life's Rhythm,The Quarto Group
Mindfulness in Sound: Tune in to the world around us,Mindfulness in Sound: Tune in to the world around us,The Quarto Group
Mindfulness Meditations for Anxiety,Mindfulness Meditations for Anxiety,Callisto Publishing
The Mindfulness Workbook for Depression,The Mindfulness Workbook for Depression,Callisto Publishing
Mindfulness Workbook for Stress Relief,Mindfulness Workbook for Stress Relief,Callisto Publishing
Minding the Machines: Building and Leading Data Science and Analytics Teams,Minding the Machines: Building and Leading Data Science and Analytics Teams,Wiley
Minecrafter's Cookbook,Minecrafter's Cookbook,Skyhorse Publishing
"Miniature Gardens: Design and create miniature fairy gardens, dish gardens, terrariums and more-indoors and out","Miniature Gardens: Design and create miniature fairy gardens, dish gardens, terrariums and more-indoors and out",The Quarto Group
Mining the Social Web,Mining the Social Web,O'Reilly
Mission Python,Mission Python,No Starch Press
ML.NET Revealed,ML.NET Revealed,Springer
Model Bakery Cookbook,Model Bakery Cookbook,Chronicle Books
Modern C,Modern C,Manning Publications
Modern DevOps Practices - Second Edition,Modern DevOps Practices - Second Edition,Packt
Modern Front-end Architecture,Modern Front-end Architecture,Springer
MODERN FULL-STACK DEVELOPMENT,MODERN FULL-STACK DEVELOPMENT,Springer
Modern Marketing Using AI,Modern Marketing Using AI,Richdale Ventures
Modern Python Cookbook,Modern Python Cookbook,Packt
Modern Scandinavian Baking,Modern Scandinavian Baking,Callisto Publishing
Modern Systems Programming with Scala Native,Modern Systems Programming with Scala Native,Pragmatic Programmers
Modern Time Series Forecasting with Python,Modern Time Series Forecasting with Python,Packt
Money Hacks,Money Hacks,Simon & Schuster
MongoDB Fundamentals,MongoDB Fundamentals,Packt
Monolith to Microservices,Monolith to Microservices,O'Reilly
Monte Carlo Methods: A Hands-On Computational Introduction Utilizing Excel,Monte Carlo Methods: A Hands-On Computational Introduction Utilizing Excel,Morgan & Claypool Publishers
"The Mood Elevator: Take Charge of Your Feelings, Become a Better You","The Mood Elevator: Take Charge of Your Feelings, Become a Better You",Berrett Koehler
"Moonlight Gratitude: 365 Nighttime Meditations for Deep, Tranquil Sleep All Year Long","Moonlight Gratitude: 365 Nighttime Meditations for Deep, Tranquil Sleep All Year Long",The Quarto Group
More Fast Food My Way,More Fast Food My Way,Open Road Media
Mother Knows Best: A Novel of Suspense,Mother Knows Best: A Novel of Suspense,Penguin Random House US
Motorcycling For Dummies,Motorcycling For Dummies,Wiley
Moving Hadoop to the Cloud,Moving Hadoop to the Cloud,O'Reilly
Mr. Boddington's Etiquette,Mr. Boddington's Etiquette,Chronicle Books
MS Excel 2019 Programming Pocket Primer,MS Excel 2019 Programming Pocket Primer,"Walter De Gruyter, Inc."
Muffins and Biscuits,Muffins and Biscuits,Chronicle Books
Multi-cloud for Developers,Multi-cloud for Developers,Packt
"Multiphysics Modeling Using COMSOL 5 and MATLAB, Second Edition","Multiphysics Modeling Using COMSOL 5 and MATLAB, Second Edition","Walter De Gruyter, Inc."
"Multirate Signal Processing for Communication Systems, Second Edition","Multirate Signal Processing for Communication Systems, Second Edition",River Publishers
Multithreading for Visual Effects,Multithreading for Visual Effects,Taylor & Francis Group
Multivariable and Vector Calculus,Multivariable and Vector Calculus,"Walter De Gruyter, Inc."
Murder of Marilyn Monroe,Murder of Marilyn Monroe,Skyhorse Publishing
Mushroom Cultivation,Mushroom Cultivation,The Quarto Group
Music Science,Music Science,River Publishers
Music Theory 101,Music Theory 101,Simon & Schuster
The MVVM Pattern in .NET MAUI,The MVVM Pattern in .NET MAUI,Packt
My Crochet Animals,My Crochet Animals,Open Road Media
My Crochet Doll,My Crochet Doll,Open Road Media
My Heart Sutra,My Heart Sutra,Stone Bridge Press
My Knitted Doll,My Knitted Doll,Open Road Media
My Lebanese Cookbook,My Lebanese Cookbook,Callisto Publishing
My Pretty Brown Doll,My Pretty Brown Doll,Abrams Books
The Mycocultural Revolution,The Mycocultural Revolution,Microcosm
MYSQL DATABASE SERVICE REVEALED,MYSQL DATABASE SERVICE REVEALED,Springer
The MySQL Workshop,The MySQL Workshop,Packt
Mystical Places,Mystical Places,The Quarto Group
Mythology 101,Mythology 101,Simon & Schuster
Naikan,Naikan,Stone Bridge Press
Nanotechnology Past and Present,Nanotechnology Past and Present,Morgan & Claypool Publishers
The Narcissism Recovery Workbook,The Narcissism Recovery Workbook,Callisto Publishing
Natashas,Natashas,Skyhorse Publishing
Natural Beauty Skin Care,Natural Beauty Skin Care,Callisto Publishing
The Natural Disaster Survival Handbook,The Natural Disaster Survival Handbook,Weldon Owen
Natural Language Processing and Machine Learning for Developers,Natural Language Processing and Machine Learning for Developers,"Walter De Gruyter, Inc."
"Natural Language Processing for Social Media, Third Edition","Natural Language Processing for Social Media, Third Edition",Morgan & Claypool Publishers
Natural Language Processing Fundamentals for Developers,Natural Language Processing Fundamentals for Developers,"Walter De Gruyter, Inc."
Natural Language Processing Using R Pocket Primer,Natural Language Processing Using R Pocket Primer,"Walter De Gruyter, Inc."
Natural Language Processing with Python and spaCy: A Practical Introduction,Natural Language Processing with Python and spaCy: A Practical Introduction,No Starch Press
Natural Language Processing with PyTorch,Natural Language Processing with PyTorch,O'Reilly
Natural Remedies for Sleep,Natural Remedies for Sleep,Callisto Publishing
NBA Jam,NBA Jam,Boss Fight Books
Negotiating 101,Negotiating 101,Simon & Schuster
Negotiating the Impossible: How to Break Deadlocks and Resolve Ugly Conflicts,Negotiating the Impossible: How to Break Deadlocks and Resolve Ugly Conflicts,Berrett Koehler
Negotiating With A Bully,Negotiating With A Bully,Red Wheel/Weiser
.NET Developers Guide to Augmented Reality in iOS,.NET Developers Guide to Augmented Reality in iOS,Springer
.NET MAUI Cross-Platform Application Development,.NET MAUI Cross-Platform Application Development,Packt
.NET MAUI for C# Developers,.NET MAUI for C# Developers,Packt
"Net Zeros and Ones: How Data Erasure Promotes Sustainability, Privacy, and Security","Net Zeros and Ones: How Data Erasure Promotes Sustainability, Privacy, and Security",Wiley
The Netherlands [NET],The Netherlands [NET],Lonely Planet
Network Programming with Go,Network Programming with Go,No Starch Press
Network Security and Cryptography,Network Security and Cryptography,"Walter De Gruyter, Inc."
"Networking for People Who Hate Networking, Second Edition","Networking for People Who Hate Networking, Second Edition",Berrett Koehler
Neural Network Methods for Natural Language Processing,Neural Network Methods for Natural Language Processing,Morgan & Claypool Publishers
Neurolinguistics,Neurolinguistics,Penguin Random House US
Neuroplasticity,Neuroplasticity,Penguin Random House US
Never Apply for a Job Again!,Never Apply for a Job Again!,Red Wheel/Weiser
Never Put A Cactus In The Bathroom,Never Put A Cactus In The Bathroom,Simon & Schuster
Never Use Futura,Never Use Futura,Chronicle Books
The New Bohemians Handbook: Come Home to Good Vibes,The New Bohemians Handbook: Come Home to Good Vibes,Abrams Books
The New Camp Cookbook,The New Camp Cookbook,The Quarto Group
The New Homemade Kitchen,The New Homemade Kitchen,Chronicle Books
New Honor Code,New Honor Code,Simon & Schuster
New World Sourdough,New World Sourdough,The Quarto Group
Newtonian Mechanics,Newtonian Mechanics,"Walter De Gruyter, Inc."
Next Generation Internet of Things,Next Generation Internet of Things,River Publishers
The Nightmare Before Dinner,The Nightmare Before Dinner,The Quarto Group
Nightmare Mode: A Boss Fight Books Anthology,Nightmare Mode: A Boss Fight Books Anthology,Boss Fight Books
Nihilism,Nihilism,Penguin Random House US
NLP with Python,NLP with Python,O'Reilly
No Nonsense: Time Management,No Nonsense: Time Management,Red Wheel/Weiser
No Plot? No Problem! revised,No Plot? No Problem! revised,Chronicle Books
No Starch Sampler,No Starch Sampler,No Starch Press
No-nonsense Cover Letters,No-nonsense Cover Letters,Career Press
Noodles Every Day,Noodles Every Day,Chronicle Books
Norah Gaughan's Knitted Cable Sourcebook: A Breakthrough Guide to Knitting with Cables and Designing Your Own,Norah Gaughan's Knitted Cable Sourcebook: A Breakthrough Guide to Knitting with Cables and Designing Your Own,Abrams Books
Norah Gaughan's Twisted Stitch Sourcebook,Norah Gaughan's Twisted Stitch Sourcebook,Abrams Books
"Not with a Bug, But with a Sticker: Attacks on Machine Learning Systems and What To Do About Them","Not with a Bug, But with a Sticker: Attacks on Machine Learning Systems and What To Do About Them",Wiley
Not Your Granny's Granny Squares,Not Your Granny's Granny Squares,Insight Editions
Nourished: The Plant-based Path to Health and Happiness,Nourished: The Plant-based Path to Health and Happiness,Mango Media
Now You See It and Other Essays on Design,Now You See It and Other Essays on Design,Chronicle Books
No-Waste Organic Gardening: Eco-friendly Solutions to Improve any Garden,No-Waste Organic Gardening: Eco-friendly Solutions to Improve any Garden,The Quarto Group
"Nuclear Power: Past, Present, and Future","Nuclear Power: Past, Present, and Future",Morgan & Claypool Publishers
Nuclear Weapons,Nuclear Weapons,Penguin Random House US
Numbers at Work: A Cultural Perspective,Numbers at Work: A Cultural Perspective,Taylor & Francis Group
"Numerical Methods in Engineering and Science ( C, C++, MATLAB)","Numerical Methods in Engineering and Science ( C, C++, MATLAB)","Walter De Gruyter, Inc."
Nutrition Facts,Nutrition Facts,Callisto Publishing
Object-Oriented Programming Languages and Event-Driven Programming,Object-Oriented Programming Languages and Event-Driven Programming,"Walter De Gruyter, Inc."
Object-Oriented Python,Object-Oriented Python,No Starch Press
Observability with Grafana,Observability with Grafana,Packt
The Occupation,The Occupation,Callisto Publishing
"Ocean Instrumentation, Electronics, and Energy","Ocean Instrumentation, Electronics, and Energy","Walter De Gruyter, Inc."
OCP Oracle Certified Professional Java SE 11 Programmer I Study Guide: Exam 1Z0-815,OCP Oracle Certified Professional Java SE 11 Programmer I Study Guide: Exam 1Z0-815,Wiley
OCP Oracle Certified Professional Java SE 11 Programmer II Study Guide: Exam 1Z0-816 and Exam 1Z0-817,OCP Oracle Certified Professional Java SE 11 Programmer II Study Guide: Exam 1Z0-816 and Exam 1Z0-817,Wiley
Off The Back Of A Truck,Off The Back Of A Truck,Simon & Schuster
Official Google Cloud Certified Professional Data Engineer Study Guide,Official Google Cloud Certified Professional Data Engineer Study Guide,Wiley
Official MacGyver Survival Manual,Official MacGyver Survival Manual,Weldon Owen
The Official Raspberry Pi Beginner's Guide 4th Edition,The Official Raspberry Pi Beginner's Guide 4th Edition,Raspberry Pi Press
The Official Raspberry Pi Projects Book 2021,The Official Raspberry Pi Projects Book 2021,Raspberry Pi Press
The Official Raspberry Pi Projects Book 2022,The Official Raspberry Pi Projects Book 2022,Raspberry Pi Press
"Oh, Tama!: A Mejiro Novel","Oh, Tama!: A Mejiro Novel",Stone Bridge Press
"Ok, Boomer","Ok, Boomer",Simon & Schuster
Old Man Drinks,Old Man Drinks,Penguin Random House US
On a Stick!,On a Stick!,Quirk Books
"Once Upon a Chef, the Cookbook","Once Upon a Chef, the Cookbook",Chronicle Books
One Little Secret: A Novel,One Little Secret: A Novel,Penguin Random House US
One Pan to Rule Them All,One Pan to Rule Them All,Skyhorse Publishing
"One Pan, Two Plates: More Than 70 Complete Weeknight Meals for Two","One Pan, Two Plates: More Than 70 Complete Weeknight Meals for Two",Chronicle Books
One Pot of the Day,One Pot of the Day,Weldon Owen
The One-Pot Weight Loss Plan,The One-Pot Weight Loss Plan,Callisto Publishing
"Online Social Networks Security: Principles, Algorithm, Applications, and Perspectives","Online Social Networks Security: Principles, Algorithm, Applications, and Perspectives",Taylor & Francis Group
The Only Leadership Book You'll Ever Need,The Only Leadership Book You'll Ever Need,Career Press
Open Source Projects - Beyond Code,Open Source Projects - Beyond Code,Packt
OpenGL Insights,OpenGL Insights,Taylor & Francis Group
Operating Systems,Operating Systems,"Walter De Gruyter, Inc."
Operationalizing Machine Learning Pipelines,Operationalizing Machine Learning Pipelines,Richdale Ventures
Optics: An Introduction,Optics: An Introduction,"Walter De Gruyter, Inc."
Optimization Using Linear Programming,Optimization Using Linear Programming,"Walter De Gruyter, Inc."
Organization Hacks,Organization Hacks,Simon & Schuster
The Origins of Life: A Cosmic Perspective,The Origins of Life: A Cosmic Perspective,Morgan & Claypool Publishers
Otaku Food! : Japanese Soul Food Inspired by Anime and Pop Culture,Otaku Food! : Japanese Soul Food Inspired by Anime and Pop Culture,Mango Media
Our Maker Life,Our Maker Life,Abrams Books
Outdoor Life: Hunting & Gathering Survival Manual,Outdoor Life: Hunting & Gathering Survival Manual,Weldon Owen
Outdoor Life: Prepare for Anything Survival Manual,Outdoor Life: Prepare for Anything Survival Manual,Weldon Owen
Outdoor Life: The Ultimate Survival Manual,Outdoor Life: The Ultimate Survival Manual,Weldon Owen
"Outside the Research Lab, Volume 1: Physics in the Arts, Architecture, and Design","Outside the Research Lab, Volume 1: Physics in the Arts, Architecture, and Design",Morgan & Claypool Publishers
"Outside the Research Lab, Volume 2: Physics in Vintage and Modern Transport","Outside the Research Lab, Volume 2: Physics in Vintage and Modern Transport",Morgan & Claypool Publishers
"Outside the Research Lab, Volume 3: Physics in Sport","Outside the Research Lab, Volume 3: Physics in Sport",Morgan & Claypool Publishers
The Outward Mindset: Seeing Beyond Ourselves,The Outward Mindset: Seeing Beyond Ourselves,Berrett Koehler
The Owl,The Owl,Dynamite Entertainment
"The Pain-Free Posture Handbook: 40 Dynamic, Easy Exercises to Look and Feel Your Best","The Pain-Free Posture Handbook: 40 Dynamic, Easy Exercises to Look and Feel Your Best",Callisto Publishing
Paint It!,Paint It!,Naraku Brock
Pairing Food and Wine For Dummies,Pairing Food and Wine For Dummies,Wiley
Paleo Grilling,Paleo Grilling,The Quarto Group
Pandas Basics,Pandas Basics,"Walter De Gruyter, Inc."
Pandas Brain Teasers,Pandas Brain Teasers,Pragmatic Programmers
